ITEM CODE,SALE PRICE,,,,,,,,,,,,,,,,,,,,
00261817,7080,,,,,,,,,,,,,,,,,,,,
00262483,1710,,,,,,,,,,,,,,,,,,,,
00263286,7580,,,,,,,,,,,,,,,,,,,,
00263448,39981,,,,,,,,,,,,,,,,,,,,
00263494,5686,,,,,,,,,,,,,,,,,,,,
00263522,1229,,,,,,,,,,,,,,,,,,,,
00265583,13400,,,,,,,,,,,,,,,,,,,,
00266705,2422,,,,,,,,,,,,,,,,,,,,
00266706,2606,,,,,,,,,,,,,,,,,,,,
00266710,5780,,,,,,,,,,,,,,,,,,,,
00268956,7733,,,,,,,,,,,,,,,,,,,,
00269133,3607,,,,,,,,,,,,,,,,,,,,
00269162,865,,,,,,,,,,,,,,,,,,,,
00269164,935,,,,,,,,,,,,,,,,,,,,
00269203,1500,,,,,,,,,,,,,,,,,,,,
00269205,1650,,,,,,,,,,,,,,,,,,,,
00269208,1050,,,,,,,,,,,,,,,,,,,,
00269213,9900,,,,,,,,,,,,,,,,,,,,
00269234,13950,,,,,,,,,,,,,,,,,,,,
00269266,3862,,,,,,,,,,,,,,,,,,,,
00269267,3859,,,,,,,,,,,,,,,,,,,,
00269277,8629,,,,,,,,,,,,,,,,,,,,
00269278,8520,,,,,,,,,,,,,,,,,,,,
00269297,1390,,,,,,,,,,,,,,,,,,,,
00269304,3493,,,,,,,,,,,,,,,,,,,,
00269320,1580,,,,,,,,,,,,,,,,,,,,
00269321,786,,,,,,,,,,,,,,,,,,,,
00269322,1201,,,,,,,,,,,,,,,,,,,,
00269324,3202,,,,,,,,,,,,,,,,,,,,
00269337,1300,,,,,,,,,,,,,,,,,,,,
00269340,2150,,,,,,,,,,,,,,,,,,,,
00269355,1733,,,,,,,,,,,,,,,,,,,,
00269584,2226,,,,,,,,,,,,,,,,,,,,
00269869,3788,,,,,,,,,,,,,,,,,,,,
00269947,750,,,,,,,,,,,,,,,,,,,,
00269956,1616,,,,,,,,,,,,,,,,,,,,
00269957,702,,,,,,,,,,,,,,,,,,,,
00269958,1186,,,,,,,,,,,,,,,,,,,,
00270000,4571,,,,,,,,,,,,,,,,,,,,
00270001,2803,,,,,,,,,,,,,,,,,,,,
00270003,3536,,,,,,,,,,,,,,,,,,,,
00270004,1855,,,,,,,,,,,,,,,,,,,,
00270005,4960,,,,,,,,,,,,,,,,,,,,
00270366,3867,,,,,,,,,,,,,,,,,,,,
00270376,2814,,,,,,,,,,,,,,,,,,,,
00271093,1040,,,,,,,,,,,,,,,,,,,,
00271124,748,,,,,,,,,,,,,,,,,,,,
00271193,833,,,,,,,,,,,,,,,,,,,,
00271194,909,,,,,,,,,,,,,,,,,,,,
00271240,1199,,,,,,,,,,,,,,,,,,,,
00271241,1119,,,,,,,,,,,,,,,,,,,,
00271244,1739,,,,,,,,,,,,,,,,,,,,
00271245,1799,,,,,,,,,,,,,,,,,,,,
00271246,920,,,,,,,,,,,,,,,,,,,,
00271247,1040,,,,,,,,,,,,,,,,,,,,
00271248,840,,,,,,,,,,,,,,,,,,,,
00271249,1199,,,,,,,,,,,,,,,,,,,,
00271250,920,,,,,,,,,,,,,,,,,,,,
00271258,947,,,,,,,,,,,,,,,,,,,,
00271261,947,,,,,,,,,,,,,,,,,,,,
00273016,1473,,,,,,,,,,,,,,,,,,,,
00273017,2784,,,,,,,,,,,,,,,,,,,,
00273018,1731,,,,,,,,,,,,,,,,,,,,
00273032,161,,,,,,,,,,,,,,,,,,,,
00273034,173,,,,,,,,,,,,,,,,,,,,
00273102,314,,,,,,,,,,,,,,,,,,,,
00273436,3200,,,,,,,,,,,,,,,,,,,,
00294967,7925,,,,,,,,,,,,,,,,,,,,
00339475,6824,,,,,,,,,,,,,,,,,,,,
00341399,2614,,,,,,,,,,,,,,,,,,,,
00344268,7000,,,,,,,,,,,,,,,,,,,,
00349547,2820,,,,,,,,,,,,,,,,,,,,
00350610,11923,,,,,,,,,,,,,,,,,,,,
00350676,17425,,,,,,,,,,,,,,,,,,,,
00350677,25981,,,,,,,,,,,,,,,,,,,,
00350683,36652,,,,,,,,,,,,,,,,,,,,
00350684,5508,,,,,,,,,,,,,,,,,,,,
00350715,2900,,,,,,,,,,,,,,,,,,,,
00350716,6853,,,,,,,,,,,,,,,,,,,,
00350723,4736,,,,,,,,,,,,,,,,,,,,
00350726,16556,,,,,,,,,,,,,,,,,,,,
00351061,5217,,,,,,,,,,,,,,,,,,,,
00399097,3132,,,,,,,,,,,,,,,,,,,,
00399102,3200,,,,,,,,,,,,,,,,,,,,
00276226,3800,,,,,,,,,,,,,,,,,,,,
00276318,6600,,,,,,,,,,,,,,,,,,,,
00276568,2222,,,,,,,,,,,,,,,,,,,,
00276815,210,,,,,,,,,,,,,,,,,,,,
00262631,7295,,,,,,,,,,,,,,,,,,,,
00274594,2153,,,,,,,,,,,,,,,,,,,,
00274654,2499,,,,,,,,,,,,,,,,,,,,
00277104,31,,,,,,,,,,,,,,,,,,,,
00277596,2347,,,,,,,,,,,,,,,,,,,,
00277865,955,,,,,,,,,,,,,,,,,,,,
00277867,955,,,,,,,,,,,,,,,,,,,,
00277894,2293,,,,,,,,,,,,,,,,,,,,
00277903,1465,,,,,,,,,,,,,,,,,,,,
00278917,2850,,,,,,,,,,,,,,,,,,,,
00279189,2110,,,,,,,,,,,,,,,,,,,,
00279285,3100,,,,,,,,,,,,,,,,,,,,
00279489,2830,,,,,,,,,,,,,,,,,,,,
00279562,2538,,,,,,,,,,,,,,,,,,,,
00279590,1320,,,,,,,,,,,,,,,,,,,,
00274229,211,,,,,,,,,,,,,,,,,,,,
00280664,6156,,,,,,,,,,,,,,,,,,,,
00280772,6600,,,,,,,,,,,,,,,,,,,,
00399220,5154,,,,,,,,,,,,,,,,,,,,
00280729,1777,,,,,,,,,,,,,,,,,,,,
00280737,2090,,,,,,,,,,,,,,,,,,,,
00280788,3800,,,,,,,,,,,,,,,,,,,,
00399098,7430,,,,,,,,,,,,,,,,,,,,
00281313,5256,,,,,,,,,,,,,,,,,,,,
00281350,3433,,,,,,,,,,,,,,,,,,,,
00281356,2900,,,,,,,,,,,,,,,,,,,,
00281647,1540,,,,,,,,,,,,,,,,,,,,
00281650,1370,,,,,,,,,,,,,,,,,,,,
00281651,1708,,,,,,,,,,,,,,,,,,,,
00281654,1300,,,,,,,,,,,,,,,,,,,,
00281658,1300,,,,,,,,,,,,,,,,,,,,
00281887,2746,,,,,,,,,,,,,,,,,,,,
00282241,3900,,,,,,,,,,,,,,,,,,,,
00282292,3800,,,,,,,,,,,,,,,,,,,,
00282323,2380,,,,,,,,,,,,,,,,,,,,
00282373,2150,,,,,,,,,,,,,,,,,,,,
00282774,1890,,,,,,,,,,,,,,,,,,,,
00282973,3250,,,,,,,,,,,,,,,,,,,,
00282979,820,,,,,,,,,,,,,,,,,,,,
00283017,1667,,,,,,,,,,,,,,,,,,,,
00283022,1597,,,,,,,,,,,,,,,,,,,,
00283068,843,,,,,,,,,,,,,,,,,,,,
00283156,7500,,,,,,,,,,,,,,,,,,,,
00283183,4250,,,,,,,,,,,,,,,,,,,,
00283253,1950,,,,,,,,,,,,,,,,,,,,
00283333,4698,,,,,,,,,,,,,,,,,,,,
00283355,5300,,,,,,,,,,,,,,,,,,,,
00283448,2260,,,,,,,,,,,,,,,,,,,,
00283858,3962,,,,,,,,,,,,,,,,,,,,
00283905,3164,,,,,,,,,,,,,,,,,,,,
00284062,1794,,,,,,,,,,,,,,,,,,,,
00284506,3677,,,,,,,,,,,,,,,,,,,,
00284510,4700,,,,,,,,,,,,,,,,,,,,
00284735,6100,,,,,,,,,,,,,,,,,,,,
00284741,3033,,,,,,,,,,,,,,,,,,,,
00284758,9200,,,,,,,,,,,,,,,,,,,,
00398953,3158,,,,,,,,,,,,,,,,,,,,
00284891,4700,,,,,,,,,,,,,,,,,,,,
00284988,1595,,,,,,,,,,,,,,,,,,,,
00285095,3413,,,,,,,,,,,,,,,,,,,,
00342409,11000,,,,,,,,,,,,,,,,,,,,
00342450,11694,,,,,,,,,,,,,,,,,,,,
00342454,43027,,,,,,,,,,,,,,,,,,,,
00342464,10500,,,,,,,,,,,,,,,,,,,,
00342465,14200,,,,,,,,,,,,,,,,,,,,
00342466,5700,,,,,,,,,,,,,,,,,,,,
00342467,21950,,,,,,,,,,,,,,,,,,,,
00342469,9950,,,,,,,,,,,,,,,,,,,,
00342470,4990,,,,,,,,,,,,,,,,,,,,
00342619,5359,,,,,,,,,,,,,,,,,,,,
00285886,12476,,,,,,,,,,,,,,,,,,,,
00286026,3600,,,,,,,,,,,,,,,,,,,,
00286040,2877,,,,,,,,,,,,,,,,,,,,
00286424,2605,,,,,,,,,,,,,,,,,,,,
00343790,3900,,,,,,,,,,,,,,,,,,,,
00343126,6780,,,,,,,,,,,,,,,,,,,,
00343252,11058,,,,,,,,,,,,,,,,,,,,
00343317,35750,,,,,,,,,,,,,,,,,,,,
00343811,17448,,,,,,,,,,,,,,,,,,,,
00288228,1256,,,,,,,,,,,,,,,,,,,,
00289521,1087,,,,,,,,,,,,,,,,,,,,
00289564,1136,,,,,,,,,,,,,,,,,,,,
00344420,15514,,,,,,,,,,,,,,,,,,,,
00344421,7857,,,,,,,,,,,,,,,,,,,,
00344423,5455,,,,,,,,,,,,,,,,,,,,
00344864,30688,,,,,,,,,,,,,,,,,,,,
00289742,5336,,,,,,,,,,,,,,,,,,,,
00289745,4888,,,,,,,,,,,,,,,,,,,,
00289771,4200,,,,,,,,,,,,,,,,,,,,
00289805,5900,,,,,,,,,,,,,,,,,,,,
00289842,1353,,,,,,,,,,,,,,,,,,,,
00398949,8481,,,,,,,,,,,,,,,,,,,,
00289950,15815,,,,,,,,,,,,,,,,,,,,
00290215,5300,,,,,,,,,,,,,,,,,,,,
00290421,3621,,,,,,,,,,,,,,,,,,,,
00290479,2334,,,,,,,,,,,,,,,,,,,,
00290648,3246,,,,,,,,,,,,,,,,,,,,
00290727,2300,,,,,,,,,,,,,,,,,,,,
00290728,5204,,,,,,,,,,,,,,,,,,,,
00290779,1629,,,,,,,,,,,,,,,,,,,,
00290787,1518,,,,,,,,,,,,,,,,,,,,
00290791,1518,,,,,,,,,,,,,,,,,,,,
00290911,6600,,,,,,,,,,,,,,,,,,,,
00345001,5067,,,,,,,,,,,,,,,,,,,,
00345072,8200,,,,,,,,,,,,,,,,,,,,
00345162,2900,,,,,,,,,,,,,,,,,,,,
00345196,3535,,,,,,,,,,,,,,,,,,,,
00345242,17154,,,,,,,,,,,,,,,,,,,,
00345260,28106,,,,,,,,,,,,,,,,,,,,
00345295,14033,,,,,,,,,,,,,,,,,,,,
00291816,3442,,,,,,,,,,,,,,,,,,,,
00291988,3266,,,,,,,,,,,,,,,,,,,,
00292007,1957,,,,,,,,,,,,,,,,,,,,
00292051,3675,,,,,,,,,,,,,,,,,,,,
00346585,8500,,,,,,,,,,,,,,,,,,,,
00292641,4600,,,,,,,,,,,,,,,,,,,,
00292642,4600,,,,,,,,,,,,,,,,,,,,
00292802,11500,,,,,,,,,,,,,,,,,,,,
00346650,4738,,,,,,,,,,,,,,,,,,,,
